Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
90000,1.4136678,-0.16664384,0.05304947,316.4375,-0.7449687492407975,-0.7449687492407975,0.14102714402906713,1.0
95000,1.4142237,-0.15023193,0.058990553,256.10526315789474,-0.9512105211554291,-0.9512105211554291,0.1579039145849253,1.0
100000,1.4148465,-0.13107693,0.0423864,336.53333333333336,-0.788333329593297,-0.788333329593297,0.1526285013416782,1.0
105000,1.4158016,-0.10964335,0.104631394,312.875,-0.7611874967296899,-0.7611874967296899,0.3400683557592856,1.0
110000,1.416565,-0.0914503,0.048666026,264.8421052631579,-0.8967631547834332,-0.8967631547834332,0.09274859359414366,1.0
115000,1.4173292,-0.07220414,0.05007945,220.91304347826087,-0.9136590861546044,-0.9136590861546044,0.07663266091284723,1.0
120000,1.4175538,-0.06778653,0.05577469,294.8,-0.8904999962906004,-0.8904999962906004,0.09011620400633547,1.0
125000,1.4196099,-0.025855111,0.04698907,241.5,-0.8563181817827915,-0.8563181817827915,0.1064028590653007,1.0
130000,1.4196422,-0.020762006,0.051710244,228.9047619047619,-0.8962857141298064,-0.8962857141298064,0.08877473088519071,1.0
135000,1.4189119,-0.04976122,0.052417435,238.13636363636363,-0.9182727227797097,-0.9182727227797097,0.06553431979211216,1.0
140000,1.4184802,-0.04380757,0.048866905,291.3125,-0.8835312481678557,-0.8835312481678557,0.0749734874261776,1.0
145000,1.4175606,-0.0504765,0.043093074,277.55555555555554,-0.8283333297683081,-0.8283333297683081,0.07684296187714305,1.0
150000,1.416892,-0.06976553,0.04356674,281.1666666666667,-0.8961111053358763,-0.8961111053358763,0.08156458827175407,1.0
155000,1.4161946,-0.08030704,0.04070389,344.4,-0.6801666626706719,-0.6801666626706719,0.08853552669364338,1.0
160000,1.4178373,-0.07257852,0.0418339,331.35714285714283,-0.8083928531892265,-0.8083928531892265,0.11040132181161814,1.0
165000,1.4188356,-0.061456077,0.04149925,363.07142857142856,-0.7237857109700728,-0.7237857109700728,0.10567460026608647,1.0
170000,1.42134,-0.04784935,0.046445835,235.52173913043478,-0.8137045429585587,-0.8137045429585587,0.090680114323649,1.0
175000,1.4222054,-0.040407546,0.035762604,247.9,-0.946238093432926,-0.946238093432926,0.05794483336545194,1.0
180000,1.4247247,-0.07125637,0.033169232,244.35,-0.93174999555049,-0.93174999555049,0.05385596375053865,1.0
185000,1.4249076,-0.08781655,0.03284423,234.23809523809524,-0.9591666637071674,-0.9591666637071674,0.05473151949835093,1.0
190000,1.4254571,-0.06724425,0.030559419,265.7368421052632,-0.9426315781464311,-0.9426315781464311,0.05249286851980478,1.0
195000,1.4255878,-0.051662218,0.031280898,235.76190476190476,-0.9294761893494675,-0.9294761893494675,0.04636740364367142,1.0
200000,1.425871,-0.05709273,0.031793073,260.10526315789474,-0.8799999962027772,-0.8799999962027772,0.046577960169662744,1.0
205000,1.4262351,-0.057008907,0.028998123,196.92307692307693,-0.9473653796549815,-0.9473653796549815,0.039358600515137926,1.0
210000,1.426533,-0.06439741,0.026867844,256.89473684210526,-0.8432105223427674,-0.8432105223427674,0.04532273189703885,1.0
215000,1.4265662,-0.05534198,0.020864723,195.41666666666666,-0.9618541624804493,-0.9618541624804493,0.03940394126523946,1.0
220000,1.4265789,-0.04876039,0.019031478,210.2,-0.9061799949570559,-0.9061799949570559,0.03124225092047709,1.0
225000,1.4272916,-0.022971893,0.01491587,200.36,-0.9474199972301721,-0.9474199972301721,0.03441171614686027,1.0
230000,1.4275343,-0.024945833,0.014960882,218.7391304347826,-0.9442608676415504,-0.9442608676415504,0.034778668758561886,1.0
235000,1.4287255,-0.038668405,0.015690975,177.17857142857142,-0.9530535678952999,-0.9530535678952999,0.029328466138784797,1.0
240000,1.4287624,-0.04066091,0.015520286,224.0909090909091,-0.9426136317620561,-0.9426136317620561,0.035535308449735487,1.0
245000,1.428791,-0.05002754,0.016068099,195.92307692307693,-0.958699998606462,-0.958699998606462,0.036417263705952795,1.0
250000,1.429665,-0.06095139,0.015442487,188.96153846153845,-0.9206111094552196,-0.9206111094552196,0.029819324157870142,1.0
255000,1.4300841,-0.07065744,0.01549977,223.13636363636363,-0.9498409079811112,-0.9498409079811112,0.02908346691004805,1.0
260000,1.4313642,-0.063346304,0.017109305,212.95652173913044,-0.9464999922024815,-0.9464999922024815,0.030136954079194846,1.0
265000,1.4314641,-0.063985564,0.017031362,200.96,-0.9521399974636734,-0.9521399974636734,0.026380589784821495,1.0
