Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
5000,1.4189385,0.007341802,-0.22095385,293.5882352941176,-0.764312491290184,-0.764312491290184,0.0,1.0
10000,1.4184574,0.008961457,-0.22522268,259.42105263157896,-0.8900999950332334,-0.8900999950332334,0.20649396814405918,1.0
15000,1.4155246,-0.030385511,-0.21378306,299.0,-0.8264375040998857,-0.8264375040998857,2.7562472401186824,1.0
20000,1.4150248,-0.049472053,-0.17584783,287.22222222222223,-0.893083325199162,-0.893083325199162,2.1229658609049187,1.0
25000,1.4136486,-0.08468805,-0.12840883,223.9090909090909,-0.8999999985310503,-0.8999999985310503,0.4749567712477239,1.0
30000,1.4141406,-0.09703308,-0.11148844,311.1875,-0.8877812446589814,-0.8877812446589814,0.5399204124696553,1.0
35000,1.4148396,-0.09428322,-0.08775443,340.14285714285717,-0.7231785705579179,-0.7231785705579179,0.465557589781903,1.0
40000,1.4154329,-0.106203765,-0.074036576,314.94117647058823,-0.6923124992208614,-0.6923124992208614,0.31942184641957283,1.0
45000,1.4158418,-0.12332083,-0.05301922,300.5,-0.8289999962126946,-0.8289999962126946,0.3272441831718692,1.0
50000,1.4163307,-0.12316722,-0.029674929,367.85714285714283,-0.6888846124773129,-0.6888846124773129,0.4211874036297489,1.0
55000,1.4165115,-0.12173348,-0.025384909,283.6470588235294,-0.7726944397759831,-0.7726944397759831,0.2551573605095554,1.0
60000,1.4164164,-0.18431084,0.035091054,367.57142857142856,-0.7320769223330829,-0.7320769223330829,0.8246739708030453,1.0
65000,1.416396,-0.19171937,0.006441653,375.8333333333333,-0.5483076845367367,-0.5483076845367367,0.6116530698939011,1.0
70000,1.4153731,-0.1620382,0.028197926,381.35714285714283,-0.723821423748242,-0.723821423748242,0.377142534491473,1.0
75000,1.4151068,-0.16048194,0.03398138,277.1666666666667,-0.9559999941848218,-0.9559999941848218,0.2842857942297188,1.0
80000,1.4129468,-0.19956422,0.08101165,279.55555555555554,-0.7395277768599853,-0.7395277768599853,0.25877299073706833,1.0
85000,1.4131411,-0.175356,0.042840704,254.73684210526315,-0.9360000001891565,-0.9360000001891565,0.12439968750665062,1.0
