Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
630000,1.413139,21.305687,0.11413443,297.46666666666664,-60.86666666666667,-60.86666666666667,0.0,1.0
635000,1.4131657,21.365866,0.10818536,316.25,16.25,16.25,0.004651670577004552,1.0
640000,1.4137048,21.632118,0.082884766,315.875,53.375,53.375,0.012481219482651795,1.0
645000,1.4138429,21.610573,0.09086425,242.21052631578948,5.368421052631579,5.368421052631579,0.027025485413009608,1.0
650000,1.4143106,21.885004,0.08770786,234.3913043478261,-52.56521739130435,-52.56521739130435,0.019236411152435365,1.0
655000,1.4142014,22.203144,0.079999864,278.8235294117647,-3.5294117647058822,-3.5294117647058822,0.02918765033588416,1.0
660000,1.4140633,22.307814,0.07427039,245.76190476190476,-40.666666666666664,-40.666666666666664,0.029825821478100676,1.0
665000,1.4141452,22.570799,0.041731562,263.8421052631579,-4.578947368421052,-4.578947368421052,0.010010450413909367,1.0
670000,1.414195,22.482029,0.041025963,237.9047619047619,-19.238095238095237,-19.238095238095237,0.01590468669621173,1.0
675000,1.4136871,22.888142,0.023359908,289.29411764705884,42.23529411764706,42.23529411764706,0.010959313282749945,1.0
680000,1.4135407,22.955606,0.017756373,218.0,-57.30434782608695,-57.30434782608695,0.007694133731685883,1.0
685000,1.4130536,23.16937,-0.2067656,238.78947368421052,-45.65,-45.65,0.014071081941074226,1.0
690000,1.4132235,23.172062,-0.18871619,313.06666666666666,53.06666666666667,53.06666666666667,0.024366806278461203,1.0
695000,1.4143788,23.343973,-0.11474883,260.76190476190476,3.619047619047619,3.619047619047619,0.01127780494824124,1.0
700000,1.4146694,23.322865,-0.10620575,238.33333333333334,-67.85714285714286,-67.85714285714286,0.025353793682197215,1.0
705000,1.4152607,23.604782,-0.10004681,232.95,-37.05,-37.05,0.0071350198712934795,1.0
710000,1.4159794,23.70473,-0.09359544,274.63157894736844,6.2105263157894735,6.2105263157894735,0.012224840695987376,1.0
715000,1.4166409,23.89926,-0.09182646,251.89473684210526,-0.7368421052631579,-0.7368421052631579,0.009172737763516412,1.0
720000,1.4173694,24.192038,-0.12880228,235.04545454545453,-51.31818181818182,-51.31818181818182,0.007363428318471547,1.0
725000,1.417716,24.340887,-0.14672966,255.72222222222223,-27.61111111111111,-27.61111111111111,0.012985606415087305,1.0
730000,1.4177983,24.652988,-0.1342373,291.72222222222223,-12.166666666666666,-12.166666666666666,0.021951926455383526,1.0
735000,1.4178162,24.772303,-0.13588084,221.3913043478261,-65.56521739130434,-65.56521739130434,0.01143567780609769,1.0
740000,1.4178032,25.086376,-0.12418678,293.4117647058824,-14.823529411764707,-14.823529411764707,0.026926730290998582,1.0
745000,1.4176989,25.243528,-0.12806731,254.35,-15.65,-15.65,0.015850591982598417,1.0
750000,1.4174024,25.354136,-0.11638803,206.91666666666666,-89.125,-89.125,0.02405712732615939,1.0
755000,1.4176275,25.572348,-0.1271655,225.1818181818182,-61.18181818181818,-61.18181818181818,0.010776558301255467,1.0
760000,1.4178714,25.507332,-0.12263093,158.23333333333332,-141.76666666666668,-141.76666666666668,0.00495619603589148,1.0
